label,rationale,doc_id,advocate_argument,skeptic_argument,status,text,is_green_gold,human_notes,reviewed_at
0,"The inverted pendulum type vehicle's primary purpose is to provide a novel mobility solution, with no explicit connection to environmental sustainability or reduced environmental impact. While the vehicle may potentially be used with environmentally friendly propulsion systems, the claim itself does not specify or imply any green technology features, making the Y02 classification seem like an example of greenwashing. The vehicle's design and functionality do not inherently address environmental challenges or promote sustainable practices, which are the typical goals of Y02 green technology patents.",8862301,"The inverted pendulum type vehicle qualifies as Y02 green technology because its design enables efficient movement in all directions, potentially reducing energy consumption and emissions associated with traditional vehicles. The vehicle's ability to move in a compact and agile manner may also promote the use of environmentally friendly transportation solutions, such as electric or hybrid propulsion systems. Furthermore, the innovative design of the vehicle may encourage the development of more sustainable mobility solutions, aligning with the goals of Y02 green technology patents.","The classification of this patent claim as Y02 green technology appears to be unfounded, as the inverted pendulum type vehicle's primary purpose is to provide a novel mobility solution, with no explicit connection to environmental sustainability or reduced environmental impact. While the vehicle may potentially be used with environmentally friendly propulsion systems, the claim itself does not specify or imply any green technology features, making the Y02 classification seem like an example of greenwashing. The vehicle's design and functionality do not inherently address environmental challenges or promote sustainable practices, which are the typical goals of Y02 green technology patents.",success,"1. An inverted pendulum type vehicle including at least a first moving operation unit operable to move on said floor surface, a first actuator device for driving the first moving operation unit, a base assembled with the first moving operation unit and the first actuator device, and an occupant boarding member assembled to the base so as to be tiltable with respect to a vertical direction, the first moving operation unit being configured to move in all directions including a forward-rearward direction and a left-right direction of an occupant boarded on the occupant boarding member by a driving force of the first actuator device, the inverted pendulum type vehicle comprising: a second moving operation coupled to one of the first moving operation unit and the base such that an interval is formed between the second moving operation unit and the first moving operation unit in the forward-rearward direction, said second moving operation unit being configured to move on the floor surface in all the directions; a second actuator device for generating a driving force for making at least the second moving operation unit move in the left-right direction; and a control device for performing a turning processing for controlling the first actuator device and the second actuator device such that the second moving operation unit has a different velocity from the first moving operation unit in the left-right direction when the occupant boarded on the occupant boarding member performs a predetermined steering operation of steering the inverted pendulum type vehicle for turning the inverted pendulum type vehicle; wherein: the control unit determines that the predetermined steering operation was performed based on at least one of a turning command output from a joystick or a tilting of the occupant boarding member for turning, and the control device performs the turning processing when the predetermined steering operation is performed, and also when at least an external force application state of an external twisting force for turning the inverted pendulum type vehicle about a substantially vertical yaw axis thereof is applied to the inverted pendulum type vehicle.",0,Manual - agreed,2026-02-23T13:27:13.535244
0,"The method primarily focuses on detecting electric dropouts in engine control systems, with no direct connection to environmental sustainability or reduced environmental impact. While improved engine performance may lead to some indirect environmental benefits, the claim itself does not specify or imply any green technology features, such as emissions reduction or energy efficiency improvements. Therefore, the Y02 classification appears to be an example of greenwashing, as the environmental benefits are speculative and not inherent in the claimed invention.",8527189,"The method for detecting electric dropouts qualifies as Y02 green technology because it enables the efficient and accurate monitoring of engine performance, allowing for real-time adjustments that can optimize fuel consumption and minimize emissions. By detecting and mitigating electric dropouts, this method can help reduce waste and ensure the reliable operation of engine control systems, contributing to more environmentally friendly vehicle operation. Furthermore, the improved sensor signal processing can facilitate the development of more efficient engine management systems, aligning with the goals of Y02 green technology patents.","The classification of this patent claim as Y02 green technology seems unjustified, as the method primarily focuses on detecting electric dropouts in engine control systems, with no direct connection to environmental sustainability or reduced environmental impact. While improved engine performance may lead to some indirect environmental benefits, the claim itself does not specify or imply any green technology features, such as emissions reduction or energy efficiency improvements. Therefore, the Y02 classification appears to be an example of greenwashing, as the environmental benefits are speculative and not inherent in the claimed invention.",success,"1. A method for detecting electric dropouts during transmission of an electric signal representative of a magnitude detected by a sensor to an electronic control unit associated with an engine, comprising: a) measuring the electric signal as a raw signal; b) filtering the raw signal based on speed of change of the raw signal so as to obtain a filtered signal; c) calculating, for a constant time pitch, |raw signal−filtered signal|, as an absolute value of the difference between the raw signal and the filtered signal; d) comparing the absolute value with a predetermined threshold of maximum variation; e) when the absolute value is higher than the predetermined threshold of maximum variation, declaring a dropout state; and f) otherwise, reiterating the preceding operations, wherein in b) the filtering compares the speed of change of the signal with a predefined maximum speed, and assigns the filtered signal, if the speed of change of the signal is faster than the maximum speed, a predefined value which corresponds to the predefined maximum speed, and when the speed of change of the raw signal increases, the speed of change of the raw signal is compared with the predefined maximum speed, and when the speed of change of the raw signal decreases, the speed of change of the raw signal is compared with the predefined maximum speed.",0,Manual - agreed,2026-02-23T13:27:56.744218
1,"The method relates to the fabrication of photovoltaic devices, which are crucial for harnessing renewable energy and reducing dependence on fossil fuels. The use of plasma spraying to deposit layers with specific microstructural properties can enhance the efficiency and durability of photovoltaic devices, leading to increased energy production and reduced environmental impact. By improving the performance of photovoltaic devices, this method contributes to the development of sustainable energy solutions, aligning with the goals of Y02 green technology patents.",8383451,"The method qualifies as Y02 green technology because it relates to the fabrication of photovoltaic devices, which are crucial for harnessing renewable energy and reducing dependence on fossil fuels. The use of plasma spraying to deposit layers with specific microstructural properties can enhance the efficiency and durability of photovoltaic devices, leading to increased energy production and reduced environmental impact. By improving the performance of photovoltaic devices, this method contributes to the development of sustainable energy solutions, aligning with the goals of Y02 green technology patents.","The classification of this patent claim as Y02 green technology appears to be overly broad, as the method primarily focuses on a fabrication technique for photovoltaic devices, without explicitly addressing environmental sustainability or reduced environmental impact. While the method may contribute to more efficient photovoltaic devices, the claim itself does not guarantee or imply significant environmental benefits, such as reduced energy consumption or emissions. Therefore, the Y02 classification seems premature and susceptible to greenwashing, as the environmental benefits are not clearly demonstrated or inherent in the claimed invention.",success,"1. A method, comprising: providing a substrate suitable for use in a photovoltaic device; plasma spraying one or more layers over the substrate, the average grain size of the grains in each of the one or more layers being at least approximately two times greater than the thickness of the respective layer, wherein a grain size of a grain is a measure of a dimension of the respective grain along a plane parallel to the one or more layers and wherein the thickness of a respective layer is a measure of a dimension of the respective layer along a plane perpendicular to the one or more layers; and after one or more of the one or more layers are plasma-sprayed, subjecting the one or more of the one or more plasma-sprayed layers to one or more thermo-processes.",1,Manual - agreed,2026-02-23T13:28:23.834343
0,"The method primarily focuses on a mechanical design for folding and unfolding a wing, with no explicit connection to environmental sustainability or reduced environmental impact. While the method may have some indirect benefits, such as potentially reducing drag or improving aircraft efficiency, these benefits are speculative and not clearly demonstrated by the claim itself. Therefore, the Y02 classification seems like an example of greenwashing, as the environmental benefits are not inherent in the claimed invention and appear to be an after-the-fact justification.",9469392,"The method of folding and unfolding a wing qualifies as Y02 green technology because it relates to the development of morphing or adaptive wing structures, which can significantly improve the efficiency and reduce the environmental impact of aircraft. By enabling wings to change shape and optimize their configuration for different flight conditions, this method can lead to reduced fuel consumption and emissions. Furthermore, the innovative design and functionality of the wing folding mechanism can contribute to the development of more sustainable aviation solutions, aligning with the goals of Y02 green technology patents.","The classification of this patent claim as Y02 green technology appears to be unfounded, as the method primarily focuses on a mechanical design for folding and unfolding a wing, with no explicit connection to environmental sustainability or reduced environmental impact. While the method may have some indirect benefits, such as potentially reducing drag or improving aircraft efficiency, these benefits are speculative and not clearly demonstrated by the claim itself. Therefore, the Y02 classification seems like an example of greenwashing, as the environmental benefits are not inherent in the claimed invention and appear to be an after-the-fact justification.",success,"1. A method of folding and unfolding a wing, the method comprising: rotating an unfixed portion of the wing with respect to a fixed portion of the wing between a flight position of the wing and a folded position of the wing; securing, about a rotation axis in a lower-side of the fixed portion of the wing, a rotating portion of a latch assembly, to the fixed portion, the rotating portion connecting to a rotation bar that rotates, the rotating portion comprising a slot; securing a secured portion, comprising a latch bar, of the latch assembly to a lower-side of the unfixed portion of the wing; and rotating, between an open position of the latch assembly and a closed position of the latch assembly, the rotating portion of the latch assembly, via moving a latch actuator connecting to the rotation bar at a lug that rotates about the rotation axis, the rotation bar being radially offset from the rotation axis and located between the lug and the slot.",1,Manual - disagreed,2026-02-23T13:29:02.271982
0,"The manufacturing method primarily focuses on producing flexible electronic structures, with potential environmental benefits being speculative and not explicitly supported by the claim. While the method may contribute to more sustainable electronics production, the claim itself does not guarantee or imply significant environmental benefits, such as reduced electronic waste or energy efficiency improvements. Therefore, the Y02 classification appears to be an example of greenwashing, as the environmental benefits are not clearly demonstrated or inherent in the claimed invention.",9842862,"The manufacturing method of a flexible electronic structure qualifies as Y02 green technology because it enables the production of flexible and potentially recyclable electronic devices, which can contribute to reduced electronic waste and more sustainable consumption of resources. The use of a carrier separation process and the formation of coplanar touch-sensing units and anti-interference spots suggest a focus on efficient and environmentally friendly manufacturing techniques. Furthermore, the development of flexible electronics can lead to innovative applications in areas such as wearable technology, displays, and sensors, potentially reducing the environmental impact of traditional rigid electronic devices.","The classification of this patent claim as Y02 green technology seems premature, as the manufacturing method primarily focuses on producing flexible electronic structures, with potential environmental benefits being speculative and not explicitly supported by the claim. While the method may contribute to more sustainable electronics production, the claim itself does not guarantee or imply significant environmental benefits, such as reduced electronic waste or energy efficiency improvements. Therefore, the Y02 classification appears to be an example of greenwashing, as the environmental benefits are not clearly demonstrated or inherent in the claimed invention.",success,"1. A manufacturing method of a flexible electronic structure formed by a carrier separation process, comprising steps of: providing a carrier; attaching a flexible substrate to the carrier; forming a plurality of touch-sensing units coplanarly on the flexible substrate, wherein a first interval region is formed between the adjacent touch-sensing units; coplanarly forming at least one first anti-interference spot within the first interval region, wherein a distance is between the at least one first anti-interference spot and the adjacent touch-sensing unit; coplanarly forming a ground unit with the plurality of touch-sensing units, wherein the grounding unit and the adjacent touch-sensing unit have a second interval region therebetween; forming at least one second anti-interference spot within the second interval region, wherein both the plurality of touch-sensing units and the ground unit are disposed coplanarly with the at least one second anti-interference spot; and separating the flexible substrate from the carrier.",1,Manual - disagreed,2026-02-23T13:29:42.420788
0,"The apparatus primarily relates to a generic electronic circuit for managing data and clock signals, with no clear connection to environmental sustainability or reduced environmental impact. The claim does not specify any features or functionality that would suggest a direct contribution to green technology, such as energy efficiency, reduced emissions, or sustainable resource use. Therefore, the Y02 classification appears to be an example of greenwashing, as there is no evident environmental benefit or sustainability aspect inherent in the claimed invention.",8994429,"This patent claim does not clearly qualify as Y02 green technology because it primarily relates to a generic electronic apparatus for managing data and clock signals, which does not directly address environmental sustainability or green technology concerns. The apparatus appears to be a fundamental component of digital electronics, and its primary function is not explicitly linked to reducing environmental impact or promoting sustainable practices. Without more specific information on how the apparatus contributes to environmental sustainability, it is difficult to justify its classification as Y02 green technology.","The classification of this patent claim as Y02 green technology is unwarranted, as the apparatus primarily relates to a generic electronic circuit for managing data and clock signals, with no clear connection to environmental sustainability or reduced environmental impact. The claim does not specify any features or functionality that would suggest a direct contribution to green technology, such as energy efficiency, reduced emissions, or sustainable resource use. Therefore, the Y02 classification appears to be an example of greenwashing, as there is no evident environmental benefit or sustainability aspect inherent in the claimed invention.",success,"1. An apparatus, comprising: an input circuit configured to generate complement data dependent upon received data; an output circuit configured to store the complement data dependent upon a clock signal; a clock circuit configured to generate one or more internal clocks dependent upon the clock signal and the complement data, wherein the one or more internal clocks include a first internal clock and second internal clock; and a feedback circuit configured to maintain a data state of the complement data dependent upon the one or more internal clocks; wherein the input circuit includes a pull-up network and a pull-down network, wherein the pull-up network is enabled by the second internal clock and the pull-down network is enabled by the first internal clock.",0,Manual - agreed,2026-02-23T13:29:45.079701
1,"The compound of Formula 1 exhibits a complex and specific structure with controlled variability, suggesting a tailored approach to achieving environmentally beneficial properties. Although the claim does not explicitly state its applications, the potential uses in environmentally friendly areas such as organic electronics, photovoltaics, or green chemistry processes align with the criteria for Y02 green technology patents. The detailed description implies potential environmental benefits, supporting the classification as Y02 green technology.",9447102,"The compound of Formula 1 qualifies as Y02 green technology because it likely relates to a sustainable material or chemical entity given the complexity and specificity of its structure, which could be utilized in environmentally friendly applications such as organic electronics, photovoltaics, or as a component in green chemistry processes. The presence of specific substituents and the controlled variability in the molecular structure suggest a tailored approach to achieving certain environmentally beneficial properties. Furthermore, the detailed description of the compound implies potential applications in reducing environmental impact, aligning with the criteria for Y02 green technology patents.","The classification of this patent claim as Y02 green technology appears to be speculative and overly broad, as the compound's structure, although complex, does not inherently guarantee environmentally friendly applications or sustainable properties. The potential uses mentioned, such as organic electronics or photovoltaics, are not explicitly supported by the claim, and the environmental benefits are not clearly demonstrated. Therefore, the Y02 classification seems premature and susceptible to greenwashing, as the environmental benefits are not clearly demonstrated or inherent in the claimed invention.",success,"1. A compound of Formula 1: wherein R is selected from the group consisting of: wherein the alkyl, heteroalkyl, carbocyclyl and heterocyclyl may be further substituted; Y is E is oxygen, Z is X n is an integer from 0 to 2; m is an integer from 0 to 2; m′ is an integer from 0 to 2; W is selected from the group consisting of:",1,Manual - agreed,2026-02-23T13:29:49.643989
1,"The patent claim relates to a flame barrier laminate that can be used to improve fire safety and reduce the risk of fires, which is a key aspect of sustainable and environmentally friendly technologies. The use of a refractory inorganic layer and heat-activated adhesive layers enables the laminate to withstand high temperatures, thereby preventing or slowing the spread of fires. This invention contributes to the reduction of fire-related hazards and environmental damage, aligning with the Y02 classification.",8607927,"This patent claim qualifies as Y02 green technology because it relates to a flame barrier laminate that can be used to improve fire safety and reduce the risk of fires, which is a key aspect of sustainable and environmentally friendly technologies. The use of a refractory inorganic layer and heat-activated adhesive layers enables the laminate to withstand high temperatures, thereby preventing or slowing the spread of fires. By providing a flame barrier, this invention contributes to the reduction of fire-related hazards and environmental damage, aligning with the Y02 classification.","The classification of this patent claim as Y02 green technology is questionable because the primary purpose of the flame barrier laminate appears to be fire safety and prevention of damage, rather than directly addressing environmental sustainability or reducing greenhouse gas emissions. While the invention may have secondary environmental benefits by reducing fire-related damage, its main goal seems to be improving safety rather than promoting environmental sustainability. Therefore, the Y02 classification may be an example of greenwashing, as it stretches the definition of green technology to include products with tangential environmental benefits.",success,"1. A multilayer laminate for use as a flame barrier comprising (i) a first polymeric film layer capable of withstanding a temperature of at least 200 C for at least 10 min, (ii) a first adhesive layer having an areal weight of from 2 to 40 gsm capable of activation at a temperature of from 75 to 200 degrees C., (iii) an inorganic refractory layer, (iv) a second adhesive layer having an areal weight of from 2 to 40 gsm capable of activation at a temperature of from 75 to 200 degrees C., and (v) a second polymeric film layer capable of withstanding a temperature of at least 200 C for at least 10 min, wherein at least one of the first or second polymeric film layers is thermoplastic;",0,Manual - disagreed,2026-02-23T13:30:09.452006
0,"The patent claim primarily focuses on improving safety and functionality of automatic motorized doors, rather than directly addressing environmental sustainability or reducing greenhouse gas emissions. While the invention may have minor indirect benefits in terms of energy efficiency, its main purpose appears to be enhancing safety and reliability. Therefore, the Y02 classification seems to be an example of greenwashing, as it overstates the environmental significance of this invention.",8984809,"This patent claim qualifies as Y02 green technology because it relates to an apparatus for converting a door operator to work with a switch sensing edge, which can help reduce energy consumption and improve safety by providing a more efficient and reliable obstruction sensing system for automatic motorized doors. The use of a switch sensing edge can help minimize the risk of accidents and injuries caused by door collisions, and can also contribute to energy efficiency by optimizing door operation. By enhancing the safety and efficiency of automatic doors, this invention supports sustainable and environmentally friendly technologies, aligning with the Y02 classification.","The classification of this patent claim as Y02 green technology is unwarranted because the apparatus primarily focuses on improving safety and functionality of automatic motorized doors, rather than directly addressing environmental sustainability or reducing greenhouse gas emissions. While the invention may have minor indirect benefits in terms of energy efficiency, its main purpose appears to be enhancing safety and reliability, which does not necessarily align with the environmental goals of the Y02 classification. Therefore, the Y02 classification seems to be an example of greenwashing, as it overstates the environmental significance of this invention.",success,"1. Apparatus for converting a door operator which controls an automatic motorized door utilizing photo eye obstruction sensing to provide a signal to said operator of an obstruction of the door being controlled, said signal being of a given amplitude, periodicity and duty cycle, to operate with a switch sensing edge which switches between an open or closed condition dependent on the switch sensing edge contacting an obstruction, switch sensing edge being placed along an edge of the door, said apparatus comprised of: means to connect the switch sensing edge to the apparatus; means to sense an open or closed condition of the switch sensing edge; means to monitor the switch sensing edge continuously to determine whether the switch is connected to the apparatus and in an open or closed state of continuity; means to convert the electrical power available from the door operator for use with said switch sensing edge and the apparatus; output means for generating the periodic signal of a desired amplitude, period and duty cycle to correspond to the amplitude, period and duty cycle of the signal from a photo eye obstruction sensor which the apparatus is replacing; whereby the apparatus senses an open or closed condition of the said edge sensing switch and converts an open or closed condition input condition of the switch to said signal of the desired amplitude, period and duty cycle which simulates the signal which would be expected by the door operator if said operator was operated by the said photo-eye obstruction sensor.",0,Manual - agreed,2026-02-23T13:30:15.595832
0,"The patent claim relates to a pharmaceutical composition for antiviral treatment, which is primarily a healthcare-related technology rather than an environmental or sustainable technology. The composition's focus on treating diseases does not directly address environmental sustainability or reducing harmful impacts on the environment. As such, it does not align with the Y02 classification, which focuses on sustainable and environmentally friendly technologies.",8809354,"This patent claim does not appear to qualify as Y02 green technology because it relates to a pharmaceutical composition for antiviral treatment, which is primarily a healthcare-related technology rather than an environmental or sustainable technology. The composition's focus on treating diseases does not directly address environmental sustainability or reducing harmful impacts on the environment. As such, it does not align with the Y02 classification, which focuses on sustainable and environmentally friendly technologies.","The classification of this patent claim as Y02 green technology is not justified because the pharmaceutical composition is primarily focused on antiviral treatment, which is a healthcare-related technology rather than an environmental or sustainable technology. The invention's purpose is to treat diseases, not to address environmental sustainability or reduce greenhouse gas emissions, making it unrelated to the Y02 classification. Therefore, assigning a Y02 classification to this patent claim appears to be a case of greenwashing, as it misrepresents the invention's environmental relevance.",success,"1. A pharmaceutical composition comprising a compound 3-amino-2-(4-nitrophenyl)-4-(3H)-quinazolinone or a pharmaceutically acceptable salt or ester thereof, in combination with one or more other antiviral agents, and one or more pharmaceutically acceptable carriers, excipients or diluents.",1,Manual - disagreed,2026-02-23T13:30:32.733295
